questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
ID-010,gdlLicensing,ID,5,42,37,"What happens to an Idaho teen's license after multiple violations?","Points accumulate until age 18 years","A warning only for the first offense","Paying fine clears the driving record","Suspension and extended restrictions apply",D
ID-013,cellPhone,ID,5,9,4,"When did Idaho's hands-free law take effect?","2015","July 2020","2018","2022",B
IN-023,duiStateLaws,IN,5,25,20,"What happens if you refuse a BAC test in Indiana?","Warning only","1 year license suspension","90 day suspension","Same as failing test",B
IN-031,stateUnique,IN,5,39,34,"When must headlights be used in Indiana?","Sunset to sunrise only is required","Only during rain or severe weather","Only on highways and interstates","30 min after sunset plus low visibility",D
IN-038,stateUnique,IN,5,14,9,"What is the minimum following distance recommended in Indiana?","1 second","2 seconds","3 to 4 seconds","5 seconds",C
IA-018,cellPhone,IA,5,39,34,"What makes Iowa's distracted driving law unique?","It only applies to teenage drivers","Specifically bans entertainment devices","It only applies to texting by law","It only applies on state highways",B
KS-025,duiStateLaws,KS,5,25,20,"What device is required for DUI offenders in Kansas?","GPS tracker","Ignition interlock device","Breathalyzer in home","None required",B
KS-026,duiStateLaws,KS,5,27,22,"Can Kansas charge DUI for marijuana impairment?","No only alcohol","Yes any impairing substance","Only with alcohol","Only medical marijuana",B
KY-030,insurance,KY,5,41,36,"What happens if you drive without insurance in Kentucky?","A warning only for the first offense","A small fine only is applied to you","Fines plus suspension plus SR-22 required","Points on your license but no fine",C
ME-034,stateUnique,ME,5,40,35,"What should Maine drivers know about moose?","Moose are only in northern forests","Moose are rare throughout the state","Moose crossings are always marked","Moose are common especially at dawn/dusk",D
MI-016,cellPhone,MI,5,9,4,"When did Michigan strengthen its distracted driving law?","2010","June 2023","2019","2015",B
MT-013,cellPhone,MT,5,24,19,"What is Montana cell phone law for teen drivers?","No texting while driving","Same as adults","Hands-free required","Complete ban",A
NH-031,stateUnique,NH,5,39,34,"When must headlights be used in New Hampshire?","30 min after sunset plus low visibility","Sunset to sunrise only is required","Only during rain or severe weather","Only on rural roads is required",A
NY-031,stateUnique,NY,5,39,34,"When must headlights be used in New York?","30 min after sunset plus low visibility","Sunset to sunrise only is required","Only during rain or severe weather","Only on highways and interstates",A
OH-015,cellPhone,OH,5,28,23,"How is Ohio texting ban enforced for adults?","Secondary offense for adults","Primary offense for all","Warning only","Varies by county",A
PA-012,gdlLicensing,PA,5,24,19,"Can Pennsylvania parents add restrictions to their teen's license?","No state rules only","Yes by notifying PennDOT","Only first 30 days","Only for curfew",B
RI-011,gdlLicensing,RI,5,23,18,"What must Rhode Island teens complete before getting a permit?","Nothing additional","Driver education course","Only written test","Only vision test",B
U-007,roadSigns,ALL,4,20,16,"What does a red circle with a line through it mean?","Stop here","Yield to traffic","Action is prohibited","One way only",C
U-012,roadSigns,ALL,4,15,11,"What does a pennant-shaped sign indicate?","School zone","Yield ahead","Merge lane","No passing zone",D
U-014,roadSigns,ALL,4,16,12,"What does a brown sign indicate?","Speed limit","Recreation areas","Services","Construction",B
U-018,roadSigns,ALL,4,21,17,"What does a deer silhouette on a yellow sign mean?","Deer hunting area","Animal crossing ahead","Wildlife refuge","Zoo nearby",B
U-036,roadSigns,ALL,4,23,19,"What does HOV lane signage indicate?","Heavy vehicles only","High occupancy vehicles","Hospital vehicles","Hazardous materials",B
U-037,roadSigns,ALL,4,24,20,"What does a keep right sign mean?","Pass on right only","Right turn only","Stay to right of divider","Right lane must exit",C
U-043,roadSigns,ALL,4,19,15,"What does signal ahead sign warn?","Traffic light ahead","Speed camera","Flashing beacon","Railroad signal",A
U-075,rulesOfRoad,ALL,4,21,17,"What should you do if you miss your exit on a highway?","Back up carefully","Continue to next exit","Stop and reverse","Make a U-turn",B
U-102,safeDriving,ALL,4,27,23,"What is a blind spot?","Area not visible in mirrors","Covered windshield area","Tinted window section","Dark road area",A
U-108,safeDriving,ALL,4,18,14,"What should you do if another vehicle passes you?","Speed up","Maintain speed","Slow down slightly","Flash lights",C
U-119,safeDriving,ALL,4,30,26,"What is scanning the road?","Looking straight ahead","Checking mirrors regularly","Asking passengers to watch","Moving eyes to check all areas",D
U-120,safeDriving,ALL,4,19,15,"How far ahead should you look when driving?","50 feet","100 feet","10-15 seconds ahead","2 seconds ahead",C
U-129,specialSituations,ALL,4,21,17,"What should you do if an animal is in the road?","Brake if safe to stop","Swerve to avoid","Speed up past it","Honk continuously",A
U-158,alcoholDUI,ALL,4,19,15,"What is a DUI checkpoint?","Speed trap","Insurance check","Emissions test","Sobriety checkpoint",D
AL-005,gdlLicensing,AL,4,23,19,"What are the nighttime driving restrictions for Stage II license holders in Alabama?","No driving 10pm-5am","No driving 11pm-6am","No driving midnight-6am","No restrictions",C
AL-028,insurance,AL,4,36,32,"Must you carry proof of insurance in your vehicle in Alabama?","No it is optional","Yes you must show proof if requested","Only for commercial vehicles","Only if you have had an accident",B
AL-039,stateUnique,AL,4,45,41,"What is the penalty for leaving the scene of an accident in Alabama?","A fine with no impact on driving record","A warning is issued for the first offense","Misdemeanor or felony plus license suspension","Points are added to your driving record",C
AL-040,stateUnique,AL,4,46,42,"When are you required to report an accident to law enforcement in Alabama?","Only if any person involved was injured","If there are injuries or death or major damage","Only if total damage exceeds $500 in value","All accidents must be reported to police",B
AK-009,gdlLicensing,AK,4,22,18,"What is the penalty for violating provisional license restrictions in Alaska?","Warning only","$100 fine","$200 fine and 2 points","License revocation",C
AK-013,cellPhone,AK,4,32,28,"Is texting while driving legal in Alaska?","Yes for all drivers","Yes only for adults","No it is illegal for all drivers","Only illegal in school zones",C
CA-015,cellPhone,CA,4,46,42,"How must a phone be mounted to be used legally while driving in California?","Anywhere inside your vehicle is acceptable","In the cupholder is the only legal option","No mounting is required under state law","Windshield or dash or console without blocking",D
CA-022,duiStateLaws,CA,4,46,42,"What happens if you are on DUI probation and drive with any alcohol in California?","Additional DUI charges and probation violation","No additional penalty applies in this case","A warning only for the first occurrence","A fine is issued but no jail is possible",A
CO-008,gdlLicensing,CO,4,12,8,"What is the nighttime curfew for teen drivers in Colorado?","10pm-5am","11pm-5am","Midnight-5am","1am-5am",C
CT-018,cellPhone,CT,4,40,36,"What activity does Connecticut law prohibit while driving?","Only phone use is prohibited by law","Only eating while driving is banned","Any activity that interferes with safety","Only texting while driving is banned",C
FL-004,gdlLicensing,FL,4,19,15,"What are the daytime restrictions for the first 3 months with a learner's permit in Florida?","No restrictions","Daylight hours only","Until 10pm","Until midnight",B
GA-007,gdlLicensing,GA,4,15,11,"What are the nighttime driving restrictions for Georgia provisional license holders?","10pm to 5am","Midnight to 6am","11pm to 5am","9pm to 6am",B
GA-031,stateUnique,GA,4,38,34,"What does Georgia's Move Over law require?","Move over for school buses only","Slow or move for emergency and utility","Move over only for police vehicles","Move over at all intersections",B
IL-035,stateUnique,IL,4,36,32,"What is Illinois law regarding school bus stops?","Stop only when on the same side","Slow down to 25 mph when passing","Stop only when red lights flash","Stop both ways unless barrier exists",D
IL-039,stateUnique,IL,4,40,36,"What should Illinois drivers know about winter driving?","Chains are always required in winter","No chains but snow tires are recommended","Studded tires are required by law","Salt trucks have the right of way",B
IN-036,stateUnique,IN,4,29,25,"Are right turns on red permitted in Indiana?","Never","Yes unless prohibited by sign","Only outside Indianapolis","Only with green arrow",B
IA-025,duiStateLaws,IA,4,36,32,"What does Iowa's implied consent law mean?","Auto consent to testing when driving","You can refuse all tests freely","Consent to vehicle searches only","Consent to field sobriety tests",A
KY-005,gdlLicensing,KY,4,15,11,"What are the nighttime restrictions for Kentucky intermediate license holders?","10pm to 5am","Midnight to 6am","11pm to 5am","9pm to 6am",B
LA-017,cellPhone,LA,4,17,13,"What is the penalty for texting while driving in Louisiana?","25 dollars","Up to 500 dollars","100 dollars","Warning first",B
LA-030,insurance,LA,4,40,36,"What happens if you drive without insurance in Louisiana?","A warning only for the first offense","Fines plus suspension plus reinstatement","A small fine only is applied to you","Points on your license but no fine",B
LA-037,stateUnique,LA,4,40,36,"What is unique about some Louisiana roads?","All roads are well above sea level","Some roads are below sea level on levees","Roads are all built on solid ground","Roads are maintained by the parishes",B
MD-005,gdlLicensing,MD,4,15,11,"What are the nighttime restrictions for Maryland provisional license holders?","10pm to 5am","Midnight to 5am","11pm to 5am","9pm to 6am",B
MI-037,stateUnique,MI,4,38,34,"What should Michigan drivers know about the Mackinac Bridge?","Normal traffic rules always apply","Special protocols for wind and weather","The bridge is only open seasonally","Commercial vehicles are prohibited",B
MN-005,gdlLicensing,MN,4,15,11,"What are the nighttime restrictions for Minnesota provisional license holders?","10pm to 5am","Midnight to 5am","11pm to 5am","9pm to 6am",B
MS-016,cellPhone,MS,4,17,13,"What is the fine for texting while driving in Mississippi?","25 dollars","Up to 100 dollars","50 dollars","Warning first",B
MO-017,cellPhone,MO,4,17,13,"What is the fine for texting violations in Missouri for those under 22?","25 dollars","Up to 200 dollars","50 dollars","Warning first",B
MO-030,insurance,MO,4,40,36,"What happens if you drive without insurance in Missouri?","A warning only for the first offense","Fines plus suspension plus reinstatement","A fine only with no license impact","Points on your license but no fine",B
MT-016,cellPhone,MT,4,17,13,"What is the fine for texting while driving in Montana?","25 dollars","Up to 100 dollars","50 dollars","Warning first",B
NE-005,gdlLicensing,NE,4,15,11,"What are the nighttime restrictions for Nebraska POP holders?","10pm to 5am","Midnight to 6am","11pm to 5am","9pm to 6am",B
NH-037,stateUnique,NH,4,42,38,"What is unique about New Hampshire vehicle requirements?","Insurance is required for all drivers","Seatbelts are required for all ages","No adult seatbelt law or insurance mandate","All vehicles must pass emissions tests",C
NM-005,gdlLicensing,NM,4,15,11,"What are the nighttime restrictions for New Mexico provisional drivers?","10pm to 5am","Midnight to 5am","11pm to 6am","9pm to 6am",B
NM-016,cellPhone,NM,4,17,13,"What are the penalties for cell phone violations in New Mexico?","25 dollars","25 to 100 dollars","50 dollars","Warning first",B
TX-005,gdlLicensing,TX,4,15,11,"What are the nighttime restrictions for Texas provisional drivers?","10pm to 5am","Midnight to 5am","11pm to 5am","9pm to 6am",B
UT-005,gdlLicensing,UT,4,15,11,"What are the nighttime restrictions for Utah provisional drivers?","10pm to 5am","Midnight to 5am","11pm to 5am","9pm to 6am",B
VT-005,gdlLicensing,VT,4,15,11,"What are the nighttime restrictions for Vermont junior drivers?","10pm to 5am","Midnight to 5am","11pm to 5am","9pm to 6am",B
VA-005,gdlLicensing,VA,4,15,11,"What are the nighttime restrictions for Virginia provisional drivers?","10pm to 5am","Midnight to 4am","11pm to 5am","9pm to 6am",B
WA-012,gdlLicensing,WA,4,23,19,"Can Washington parents restrict their teen's driving further?","No state rules only","Yes by working with DOL","Only first 30 days","Only for curfew",B
WI-005,gdlLicensing,WI,4,15,11,"What are the nighttime restrictions for Wisconsin probationary drivers?","10pm to 5am","Midnight to 5am","11pm to 5am","9pm to 6am",B
WI-016,cellPhone,WI,4,17,13,"What are the penalties for texting while driving in Wisconsin?","25 dollars","Up to 400 dollars","50 dollars","Warning first",B
U-020,roadSigns,ALL,3,17,14,"What does a slippery car silhouette sign mean?","Car wash ahead","Ice on road","Oil on road","Slippery when wet",D
U-038,roadSigns,ALL,3,14,11,"What does a lane ends sign warn?","Exit only","Dead end","Road closed","Merge required",D
U-039,roadSigns,ALL,3,15,12,"What does a railroad crossbuck (X sign) mean?","Yield to trains","Slow down","Stop always","Warning only",A
U-044,roadSigns,ALL,3,21,18,"What does a chevron sign indicate?","Speed limit change","Sharp curve direction","Lane change","Highway exit",B
U-046,roadSigns,ALL,3,15,12,"What does a weight limit sign restrict?","Speed","Lane width","Parking time","Bridge capacity",D
U-099,safeDriving,ALL,3,18,15,"What is the leading cause of traffic fatalities?","Distracted driving","Speeding","Weather","Vehicle defects",A
U-142,specialSituations,ALL,3,23,20,"When should you pull over for an emergency vehicle?","Only if in same lane","Only on highways","Always when approaching","Only if signaled",C
AL-014,cellPhone,AL,3,53,50,"Which actions are prohibited under Alabama's hands-free driving law?","Holding phone plus texting plus videos plus recording","Making any phone calls while vehicle is moving now","Sending any text messages while vehicle is moving","Only watching videos while vehicle is in motion",A
AL-025,duiStateLaws,AL,3,48,45,"What factors can double the penalties for a DUI conviction in Alabama?","Driving at night or in bad weather conditions","BAC of 0.15% or higher or child under 14 present","Being charged with a DUI for the first time","Driving on highway or interstate at the time",B
AZ-013,cellPhone,AZ,3,38,35,"Is Arizona a hands-free state for all drivers?","No only for teen drivers under 18","Only in designated school zones","Only for commercial vehicle drivers","Yes holding a phone is illegal for all",D
AR-008,gdlLicensing,AR,3,28,25,"What must all passengers do when riding with a learner's or intermediate license holder in Arkansas?","Nothing special","Wear seat belts at all times","Be at least 18","Have a license themselves",B
CA-007,gdlLicensing,CA,3,40,37,"What exceptions exist for nighttime and passenger restrictions in California?","Parental permission is always enough","Medical or school or work with documents","Only in emergency situations allowed","No exceptions are allowed at any time",B
CA-009,gdlLicensing,CA,3,39,36,"What happens if you violate GDL restrictions in California?","A warning only for the first offense","A fine only with no license impact","Delayed license and violation on record","Community service hours are required",C
CO-014,cellPhone,CO,3,29,26,"What is required to use a phone while driving in Colorado?","Nothing phones are allowed","Hands-free accessory required","Only calls not texting","Only at stoplights",B
CT-007,gdlLicensing,CT,3,46,43,"What are the passenger restrictions for the first 6 months with a license in Connecticut?","No passengers under 21 years of age allowed","Only parents or instructors or 20+ experienced","Only one passenger is allowed at any time","Unlimited family members are always allowed",B
DE-014,cellPhone,DE,3,48,45,"What devices are covered under Delaware's distracted driving law?","Only cell phones are covered by the state law","Only smartphones are covered by the state law","All electronics including phones tablets laptops","Only texting devices are covered by state law",C
DE-039,stateUnique,DE,3,41,38,"What happens to permit suspension time in Delaware?","Must be added to the end of permit period","It is completely forgiven by the state","It resets the entire 12 month period","Paying the fine clears it completely",A
FL-011,gdlLicensing,FL,3,18,15,"What can cause a teen to restart Florida's entire GDL program?","Any ticket","Serious violations","Minor speeding","Parking tickets",B
FL-035,stateUnique,FL,3,43,40,"Can you use GPS navigation while driving in Florida?","No all phone use is banned while driving","Yes but hands-free in school and work zones","Only voice commands are allowed by law","Only when the vehicle is fully stopped",B
GA-015,cellPhone,GA,3,43,40,"What phone activities are prohibited by Georgia's hands-free law?","Holding phone plus texting reading or video","Only phone calls are prohibited by law","Only texting is prohibited while driving","Only video calls are prohibited by law",A
GA-032,stateUnique,GA,3,44,41,"When must headlights be turned on in Georgia?","Only between the hours sunset and sunrise","Only during rain or other severe weather","Sunset to sunrise or visibility under 500 ft","Only on highways and interstate roads",C
ID-017,cellPhone,ID,3,34,31,"What are the penalties for repeated hands-free violations in Idaho?","Same fine each time","Increasing fines up to 300 dollars","License suspension after second","Warning then fine",B
IN-012,gdlLicensing,IN,3,29,26,"Can Indiana parents withdraw consent for their teen's license?","No only for cause","Yes at any time before age 18","Only within first 6 months","Only with court approval",B
IN-037,stateUnique,IN,3,37,34,"What should Indiana drivers know about roundabouts?","They are rare throughout the state","Indiana has many including multi-lane","They require stopping before entry","They give right of way to entering",B
KS-028,insurance,KS,3,38,35,"What type of insurance coverage is required in Kansas?","Full coverage insurance is required","Collision insurance only is needed","Comprehensive insurance is required","Minimum liability coverage is required",D
KY-008,gdlLicensing,KY,3,41,38,"Who must supervise a Kentucky permit holder while driving?","Any adult with a valid drivers license","Licensed parent or guardian in front seat","Only professional driving instructors","Any licensed driver over age 21 years",B
MI-010,gdlLicensing,MI,3,42,39,"What is unique about Michigan's Level 2 license?","It has no passenger restrictions at all","Only nighttime restrictions apply here","Passenger and nighttime restrictions apply","It allows unsupervised highway driving",C
NE-026,duiStateLaws,NE,3,25,22,"What is required for all Nebraska DUI offenders?","Nothing special","Ignition interlock device","Community service only","Fines only",B
NJ-018,cellPhone,NJ,3,23,20,"Can New Jersey suspend licenses for cell phone violations?","No","Yes after third offense","Only for crashes","Only for GDL drivers",B
U-004,roadSigns,ALL,2,17,15,"What does a circular sign with an X and RR indicate?","Rest area ahead","Road closed","No right turn","Railroad crossing",D
U-025,roadSigns,ALL,2,18,16,"What does a sign with bumps indicate?","Rough road surface","Speed bump ahead","Uneven lanes","Dip in road",A
U-029,roadSigns,ALL,2,20,18,"What does a sign showing a T indicate?","T-intersection ahead","Turn around","No through traffic","Truck route",A
U-032,roadSigns,ALL,2,19,17,"What does a minimum speed sign indicate?","Maximum allowed","Recommended speed","Average speed","Slowest legal speed",D
U-049,roadSigns,ALL,2,18,16,"What does a bike lane sign indicate?","Bikes only in lane","No bikes allowed","Bikes may use","Bike parking",A
U-057,rulesOfRoad,ALL,2,23,21,"When can you cross a double yellow line?","To turn into a driveway","To pass slow vehicles","To avoid debris","Never cross",A
U-062,rulesOfRoad,ALL,2,11,9,"What is the proper following distance in ideal conditions?","1 second","2 seconds","3-4 seconds","5 seconds",C
U-065,rulesOfRoad,ALL,2,19,17,"Who has right-of-way when entering a highway from a ramp?","Vehicles on highway","Vehicles on ramp","Whoever is faster","Larger vehicles",A
U-068,rulesOfRoad,ALL,2,21,19,"When can you turn right on red?","Only with arrow","Never in cities","Unless sign prohibits","After stopping only",C
U-073,rulesOfRoad,ALL,2,17,15,"What does a flashing yellow arrow mean?","Stop then turn","Turn with caution","No turn allowed","Protected turn",B
U-092,safeDriving,ALL,2,29,27,"What should you do if your brakes fail?","Turn off engine immediately","Jump from vehicle","Pump brakes use parking brake","Steer into traffic",C
U-137,specialSituations,ALL,2,23,21,"What should you do if you encounter flooding?","Drive through quickly","Drive on road edge","Follow other cars","Turn around don't drown",D
U-140,specialSituations,ALL,2,20,18,"What should you do when driving near pedestrians who are blind?","Honk to alert them","Yield and be patient","Flash lights","Speed up past them",B
AL-013,cellPhone,AL,2,31,29,"What is Alabama's law regarding holding a cell phone while driving?","Permitted at all times","Illegal and a primary offense","Illegal but a secondary offense","Only illegal for teen drivers",C
AL-022,duiStateLaws,AL,2,47,45,"What does implied consent mean under Alabama law?","You may refuse chemical tests with no penalty","You must allow searches of your motor vehicle","You consent to chemical testing if DUI arrested","You agree to follow all traffic laws in state",C
AL-023,duiStateLaws,AL,2,46,44,"What happens if you refuse a chemical test when arrested for DUI in Alabama?","No penalty applies unless convicted of a DUI","You receive only a fine with no suspension","The DUI case against you will be dismissed","License is automatically suspended for 90 days",D
AK-022,duiStateLaws,AK,2,42,40,"What does implied consent mean under Alaska law?","You consent to testing if arrested for DUI","You may refuse all tests without penalty","You must consent to vehicle searches","You agree to obey posted speed limits",A
AZ-029,insurance,AZ,2,44,42,"What can happen if you drive without insurance in Arizona?","Suspension plus fines plus registration loss","A warning only for the first offense given","Points on your license but no fine given","No penalty at all for the first offense",A
AR-021,duiStateLaws,AR,2,22,20,"What happens to your license after a first DWI offense in Arkansas?","Warning only","Suspended for 6 months","Suspended for 1 year","Permanently revoked",B
AR-029,insurance,AR,2,44,42,"What can happen if you drive without insurance in Arkansas?","Fines plus suspension plus registration loss","A warning only for the first offense given","Points on your license but no fine given","Community service hours are required here",A
CA-023,duiStateLaws,CA,2,43,41,"What does implied consent mean under California law?","You can refuse all tests without penalty","You consent to testing if lawfully arrested","You must agree to allow vehicle searches","You must always carry valid car insurance",B
CA-039,stateUnique,CA,2,41,39,"What must you do if your vehicle breaks down on a California freeway?","Stay in your lane with hazard lights on","Pull completely off and stay from traffic","Wait for the police to arrive and help","Turn on your hazard lights and wait",B
CO-029,insurance,CO,2,44,42,"What can happen if you drive without insurance in Colorado?","A warning only for the first offense given","Points on your license but no fine given","Fines plus suspension plus registration loss","Nothing happens at all for first offense",C
CT-029,insurance,CT,2,44,42,"What can happen if you drive without insurance in Connecticut?","Fines plus suspension plus registration loss","A warning only for the first offense given","Points on your license but no fine given","Nothing happens at all for first offense",A
DE-012,gdlLicensing,DE,2,44,42,"What role does the sponsor play in Delaware's GDL program?","Only signs the initial license application","Final authority and can withdraw endorsement","Only supervises the behind-wheel practice","Only provides car insurance for the teen",B
DE-038,stateUnique,DE,2,34,32,"Can a sponsor withdraw endorsement after a teen completes the GDL program?","No once completed it's permanent","Yes until the minor reaches age 18","Only for violations","Only with DMV approval",B
FL-029,insurance,FL,2,39,37,"What can happen if you drive without insurance in Florida?","A warning only for the first offense","A fine only with no license impact","Suspension and reinstatement fees apply","Nothing happens for the first offense",C
GA-016,cellPhone,GA,2,29,27,"Is GPS use allowed while driving in Georgia?","No all phone use banned","Yes if mounted and hands-free","Yes if handheld","Only for commercial drivers",B
HI-019,duiStateLaws,HI,2,5,3,"What is Hawaii's term for driving under the influence?","DUI","DWI","OVUII","OWI",C
IL-011,gdlLicensing,IL,2,38,36,"What happens to an Illinois teen's license for moving violations?","A warning only for the first offense","Payment of fine only is required","Points that clear at age 18 years","May suspend with extended restrictions",D
IA-009,gdlLicensing,IA,2,33,31,"Who can supervise an Iowa intermediate driver after curfew?","Any adult with a valid license","Parent or family 21+ or adult 25+","Only parents or legal guardians","No supervision is ever allowed",B
IA-011,gdlLicensing,IA,2,26,24,"What exceptions exist for Iowa curfew restrictions?","None","Work school or emergencies","Only medical emergencies","Only with parent in car",B
IA-034,stateUnique,IA,2,41,39,"What should Iowa drivers know about farm equipment?","They are prohibited on all public roads","They only operate during night hours","They are only in designated farm areas","Slow moving equipment is common and legal",D
KY-032,stateUnique,KY,2,39,37,"What does Kentucky's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Kentucky",A
ME-025,duiStateLaws,ME,2,38,36,"What does Maine's implied consent law mean?","Consent to testing if arrested for OUI","You may refuse all tests freely","Consent to vehicle searches only","Consent to field sobriety tests only",A
MD-004,gdlLicensing,MD,2,15,13,"At what age can a Maryland teen obtain a provisional license?","16","16 and 3 months","17","15 and a half",B
MD-029,insurance,MD,2,39,37,"What can happen if you drive without insurance in Maryland?","A warning only for the first offense","A fine only with no license impact","Fines plus suspension plus vehicle tags","Nothing happens for the first offense",C
MD-032,stateUnique,MD,2,39,37,"What does Maryland's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Maryland",A
MA-032,stateUnique,MA,2,39,37,"What does Massachusetts' Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
MA-037,stateUnique,MA,2,36,34,"What should Massachusetts drivers know about rotaries?","They are rare throughout the state","Entering traffic has right of way","Drivers already in have right of way","They require stopping before entry",C
MI-032,stateUnique,MI,2,39,37,"What does Michigan's Move Over law require?","Move or slow for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Michigan",A
MO-032,stateUnique,MO,2,39,37,"What does Missouri's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Missouri",A
NE-017,cellPhone,NE,2,26,24,"Does Nebraska add points for cell phone violations?","No","Yes 3 points per violation","Only for crashes","Only for repeat offenses",B
NV-032,stateUnique,NV,2,39,37,"What does Nevada's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Nevada",A
NJ-032,stateUnique,NJ,2,39,37,"What does New Jersey's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
NJ-037,stateUnique,NJ,2,36,34,"What is unique about New Jersey traffic circles?","They are rare throughout the state","Traffic in circle yields to entering","Entering traffic has right of way","They require stopping before entry",B
NY-032,stateUnique,NY,2,39,37,"What does New York's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
NC-032,stateUnique,NC,2,39,37,"What does North Carolina's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
OH-032,stateUnique,OH,2,39,37,"What does Ohio's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Ohio",A
OK-032,stateUnique,OK,2,39,37,"What does Oklahoma's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
OR-027,insurance,OR,2,15,13,"Is Oregon an at-fault or no-fault insurance state?","No-fault","At-fault","Choice system","Hybrid with PIP",D
OR-032,stateUnique,OR,2,39,37,"What does Oregon's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Oregon",A
OR-037,stateUnique,OR,2,38,36,"What is unique about Oregon gas stations?","Self-service is allowed everywhere","Most drivers cannot pump their own gas","Self-service is required everywhere","Gas stations are rare in rural areas",B
PA-032,stateUnique,PA,2,39,37,"What does Pennsylvania's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
PA-037,stateUnique,PA,2,36,34,"What should Pennsylvania drivers know about the Pennsylvania Turnpike?","Normal traffic rules always apply","It is a major toll road with E-ZPass","The turnpike is free for residents","Commercial vehicles are prohibited",B
SC-032,stateUnique,SC,2,39,37,"What does South Carolina's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
SD-004,gdlLicensing,SD,2,15,13,"At what age can a South Dakota teen obtain a restricted minor's permit?","14","14 and 3 months","15","14 and a half",B
TN-032,stateUnique,TN,2,39,37,"What does Tennessee's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
TX-032,stateUnique,TX,2,39,37,"What does Texas' Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Texas",A
UT-032,stateUnique,UT,2,39,37,"What does Utah's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Utah",A
VA-032,stateUnique,VA,2,39,37,"What does Virginia's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
WA-031,stateUnique,WA,2,36,34,"When must headlights be used in Washington?","When conditions require or wipers on","Sunset to sunrise only is required","Only during rain or severe weather","Only on rural roads is required",A
WA-032,stateUnique,WA,2,39,37,"What does Washington's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
WI-032,stateUnique,WI,2,39,37,"What does Wisconsin's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in state",A
U-045,roadSigns,ALL,1,19,18,"What does a low clearance sign warn?","Road narrows","Weight restriction","Bridge height limit","Width limit",C
U-059,rulesOfRoad,ALL,1,23,22,"What does a solid white line between lanes mean?","Lane change prohibited","Lane change discouraged","Stop here","Yield",B
U-078,rulesOfRoad,ALL,1,23,22,"What should you do when parking downhill?","Turn wheels toward curb","Turn wheels from curb","Keep wheels straight","Either direction works",A
U-134,specialSituations,ALL,1,21,20,"What should you do when sharing the road with motorcycles?","Follow closely","Pass in same lane","Flash lights at them","Allow full lane width",D
U-159,alcoholDUI,ALL,1,21,20,"What effect does mixing alcohol and drugs have?","Cancels effects","Multiplies impairment","No additional effect","Depends on drug",B
AL-012,gdlLicensing,AL,1,45,44,"Who is exempt from the Graduated Driver License requirements in Alabama?","Drivers who are currently employed full-time","Drivers who are married and head of household","Drivers who have completed driver education","Students who maintain a GPA of 3.0 or higher",B
AK-023,duiStateLaws,AK,1,42,41,"What happens if you refuse a chemical test when arrested for DUI in Alaska?","There is no penalty for the first refusal","You will only receive a monetary fine","Same penalties as DUI including revocation","The case against you will be dismissed",C
AK-027,insurance,AK,1,9,8,"What are the minimum liability insurance requirements in Alaska?","25/50/25","50/100/25","30/60/25","20/40/15",B
